SAT,Dominating Set
1,1.0404721754
2.204950495,1.0262172285
2.2902494331,1.0314769976
1,1.1426174497
1.3925880173,1.1553361185
1,1.1342380341
1,1.0494915254
1,1.0209281165
1,1.0400471143
1.004275125,1.038563327
1,1.0342327829
1,1.0226928896
1,1.0220338983
1.0144866237,1.0379256966
1,1.0422047244
1,1.0261360261
1,1.0409511229
1.0040217472,1.067739521
1,1.1406599553
1,1.0825109975
1.0588235294,1.0702350884
1,1.0653382762
1.0039268269,1.115947553
1,1.0473175608
1,1.087114778
1.04,1.077005577
1,1.0210191083
1,1.0315142198
1,1.1320331135
1.0671066512,1.151364348
1,1.0230953013
1,1.0273972603
1,1.0561238596
1.0152689688,1.0763319672
1,1.0438108484
1,1.3137690969
1,1.0428713858
1,1.041487069
1,1.2197348134
1,1.0223089794
1,1.0812999352
1,1.0699672668
1.1588535569,1.0599800067
1,1.2857119783
1,1.0452450775
1,1.2919075145
1,1.1101418935
1,1.2452215402
1,1.0258746949
1,1.2418390288
1,1.0449197861
1,1.0155006284
1,1.0981485072
1.0170318247,1.0753379852
1,1.1898081684
1,1.0194057004
1.0075566751,1.1001618059
1,1.3506203474
1,1.1565740284
1,1.0199808276
1,1.066836699
1,1.0576230492
1,1.0309482859
1.0006118866,1.0395425657
1,1.0320672478
1.0581395349,1.0114661748
1.0666666667,1.3935277126
1.0436154588,1.1242496319
1,1.0622876557
,1.060136758
,1.0082987552
,1.0369217263
,1.2434455725
,1.0254519011
,1.2972699839
,1.0315576875
,1.2320904186
,1.2345833333
,1.0467892098
,1.3038386809
,1.1452238806
,1.0391566265
,1.0249355116
,1.0176678445
,1.0257092199
,1.0385467435
,1.0890033754
,1.0227948464
,1.0182555781
,1.0255813953
,1.045751634
,1.0233523612
,1.0097345133
,1.01842871
,1.0215889465
,1.0890630566
,1.0428143713
,1.0285493827
,1.0950479233
,1.0788290355
,1.0382091448
,1.0446445498
,1.0207082833
,1.066254913
,1.0148681055
,1.0537400934
,1.0405996252
,1.0223266745
,1.0358271865
,1.0540540541
,1.0539467312
,1.0504239179
,1.0297619048
,1.0548614883
,1.0670415225
,1.0411622276
,1.1945348081
,1.020746888
,1.0502017033
,1.1199702136
,1.0171511628
,1.1155152419
,1.0452096757
,1.0227305218
,1.31379683
,1.0543161979
,1.1978756331
,1.0746249842
,1.1471518283
,1.0057510927
,1.1042422391
,1.0260657073
,1.0088613203
,1.0667941077
,1.0347055288
,1.1799470233
,1.0089942764
,1.1254113041
,1.0701567984
,1.1255259467
,1.0860332114
,1.0976273665
,1.082039202
,1.0594206765
,1.1021075505
,1
,1.1141481175
,1.2233832904
,1.2577619664
,1.0706105529
,1.1501733796
,1.0042980986
,1.0785412828
,1.2223620869
,1.0282926091
,1.1858071438
,1.0014838263
,1.1833427264
,1.1644195166
,1.029021151
,1.066249071
,1.0309451168
