@relation whatever

@attribute gcomponents numeric
@attribute gnontrivial numeric
@attribute gpredicates numeric
@attribute grules numeric
@attribute gconstraints numeric
@attribute nbredgefacts numeric
@attribute nbredgepred numeric
@attribute defjoin { 1.0 , 0.0 } 
@attribute normalization { semi , weak , none } 
@attribute heuristic { min-degree } 
@attribute dw numeric
@attribute label { 1 , 3 , 5 , 2 , 4 } 


@data
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 1.0 , semi , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 0.0 , semi , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 1.0 , weak , min-degree , 5.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 0.0 , weak , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 0.0 , none , min-degree , 5.0 , 5 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 1.0 , semi , min-degree , 5.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 0.0 , semi , min-degree , 5.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 1.0 , weak , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 0.0 , weak , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 35.0 , 1.0 , 0.0 , none , min-degree , 5.0 , 2 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 36.0 , 1.0 , 1.0 , semi , min-degree , 5.0 , 4 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 36.0 , 1.0 , 0.0 , semi , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 36.0 , 1.0 , 1.0 , weak , min-degree , 5.0 , 4 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 36.0 , 1.0 , 0.0 , weak , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 36.0 , 1.0 , 0.0 , none , min-degree , 5.0 , 5 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 42.0 , 1.0 , 1.0 , semi , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 42.0 , 1.0 , 0.0 , semi , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 42.0 , 1.0 , 1.0 , weak , min-degree , 5.0 , 2 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 42.0 , 1.0 , 0.0 , weak , min-degree , 5.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 42.0 , 1.0 , 0.0 , none , min-degree , 5.0 , 5 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 47.0 , 1.0 , 1.0 , semi , min-degree , 5.0 , 4 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 47.0 , 1.0 , 0.0 , semi , min-degree , 5.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 47.0 , 1.0 , 1.0 , weak , min-degree , 5.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 47.0 , 1.0 , 0.0 , weak , min-degree , 5.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 47.0 , 1.0 , 0.0 , none , min-degree , 5.0 , 2 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 54.0 , 1.0 , 1.0 , semi , min-degree , 7.0 , 1 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 54.0 , 1.0 , 0.0 , semi , min-degree , 7.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 54.0 , 1.0 , 1.0 , weak , min-degree , 7.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 54.0 , 1.0 , 0.0 , weak , min-degree , 7.0 , 3 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 54.0 , 1.0 , 0.0 , none , min-degree , 7.0 , 5 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 33.0 , 1.0 , 1.0 , semi , min-degree , 5.0 , 5 
14.0 , 1.0 , 9.0 , 5.0 , 2.0 , 33.0 , 1.0 , 0.0 , semi , min-degree , 5.0 , 1 
