;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;jumpy;frumpy;crafty;none;nopre
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_006.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;1.0;semi;min-degree;5.0;0.14;0.16;0.15;0.15;0.15
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_006.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;0.0;semi;min-degree;5.0;13.28;13.83;13.31;13.80;15.58
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_006.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;1.0;weak;min-degree;5.0;0.13;0.13;0.12;0.13;0.13
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_006.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;0.0;weak;min-degree;5.0;11.86;12.37;12.03;12.34;14.62
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_006.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;0.0;none;min-degree;5.0;0.09;0.08;0.08;0.08;0.08
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_011.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;1.0;semi;min-degree;5.0;1.53;1.54;1.48;1.53;1.74
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_011.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;0.0;semi;min-degree;5.0;11.67;11.99;11.63;11.92;13.71
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_011.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;1.0;weak;min-degree;5.0;1.53;1.57;1.55;1.57;1.83
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_011.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;0.0;weak;min-degree;5.0;13.35;13.78;13.37;13.70;16.33
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.15/instance_n15_p0.15_011.lp;14.0;1.0;9.0;5.0;2.0;35.0;1.0;0.0;none;min-degree;5.0;1.48;1.45;1.57;1.50;1.48
