;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;label
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;14;1;9;5;2;315;2;1;semi;min-degree;19;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;14;1;9;5;2;315;2;0;semi;min-degree;19;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;14;1;9;5;2;315;2;1;weak;min-degree;19;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;14;1;9;5;2;315;2;0;weak;min-degree;19;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;14;1;9;5;2;315;2;0;none;min-degree;19;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;14;1;9;5;2;147;2;1;semi;min-degree;11;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;14;1;9;5;2;147;2;0;semi;min-degree;11;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;14;1;9;5;2;147;2;1;weak;min-degree;11;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;14;1;9;5;2;147;2;0;weak;min-degree;11;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;14;1;9;5;2;147;2;0;none;min-degree;11;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;14;1;9;5;2;159;2;1;semi;min-degree;16;2
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;14;1;9;5;2;159;2;0;semi;min-degree;16;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;14;1;9;5;2;159;2;1;weak;min-degree;16;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;14;1;9;5;2;159;2;0;weak;min-degree;16;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;14;1;9;5;2;159;2;0;none;min-degree;16;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;14;1;9;5;2;101;2;1;semi;min-degree;7;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;14;1;9;5;2;101;2;0;semi;min-degree;7;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;14;1;9;5;2;101;2;1;weak;min-degree;7;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;14;1;9;5;2;101;2;0;weak;min-degree;7;2
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;14;1;9;5;2;101;2;0;none;min-degree;7;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;14;1;9;5;2;55;2;1;semi;min-degree;3;5
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;14;1;9;5;2;55;2;0;semi;min-degree;3;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;14;1;9;5;2;55;2;1;weak;min-degree;3;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;14;1;9;5;2;55;2;0;weak;min-degree;3;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;14;1;9;5;2;55;2;0;none;min-degree;3;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_6.lp;14;1;9;5;2;53;2;1;semi;min-degree;5;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_6.lp;14;1;9;5;2;53;2;0;semi;min-degree;5;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_6.lp;14;1;9;5;2;53;2;1;weak;min-degree;5;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_6.lp;14;1;9;5;2;53;2;0;weak;min-degree;5;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_6.lp;14;1;9;5;2;53;2;0;none;min-degree;5;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_5.lp;14;1;9;5;2;64;2;1;semi;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_5.lp;14;1;9;5;2;64;2;0;semi;min-degree;1;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_5.lp;14;1;9;5;2;64;2;1;weak;min-degree;2;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_5.lp;14;1;9;5;2;64;2;0;weak;min-degree;2;1
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_5.lp;14;1;9;5;2;64;2;0;none;min-degree;3;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;14;1;9;5;2;17;2;1;semi;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;14;1;9;5;2;17;2;0;semi;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;14;1;9;5;2;17;2;1;weak;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;14;1;9;5;2;17;2;0;weak;min-degree;1;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;14;1;9;5;2;17;2;0;none;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;14;1;9;5;2;76;2;1;semi;min-degree;8;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;14;1;9;5;2;76;2;0;semi;min-degree;8;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;14;1;9;5;2;76;2;1;weak;min-degree;8;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;14;1;9;5;2;76;2;0;weak;min-degree;8;3
