@relation whatever

@attribute gcomponents numeric
@attribute gnontrivial numeric
@attribute gpredicates numeric
@attribute grules numeric
@attribute gconstraints numeric
@attribute nbredgefacts numeric
@attribute nbredgepred numeric
@attribute defjoin { 1 , 0 } 
@attribute normalization { semi , weak , none } 
@attribute heuristic { min-degree } 
@attribute dw numeric
@attribute label { 0 , 4 , 3 , 2 , 5 , 1 } 


@data
14 , 1 , 9 , 5 , 2 , 315 , 2 , 1 , semi , min-degree , 19 , 0 
14 , 1 , 9 , 5 , 2 , 315 , 2 , 0 , semi , min-degree , 19 , 0 
14 , 1 , 9 , 5 , 2 , 315 , 2 , 1 , weak , min-degree , 19 , 0 
14 , 1 , 9 , 5 , 2 , 315 , 2 , 0 , weak , min-degree , 19 , 0 
14 , 1 , 9 , 5 , 2 , 315 , 2 , 0 , none , min-degree , 19 , 4 
14 , 1 , 9 , 5 , 2 , 147 , 2 , 1 , semi , min-degree , 11 , 3 
14 , 1 , 9 , 5 , 2 , 147 , 2 , 0 , semi , min-degree , 11 , 0 
14 , 1 , 9 , 5 , 2 , 147 , 2 , 1 , weak , min-degree , 11 , 3 
14 , 1 , 9 , 5 , 2 , 147 , 2 , 0 , weak , min-degree , 11 , 0 
14 , 1 , 9 , 5 , 2 , 147 , 2 , 0 , none , min-degree , 11 , 4 
14 , 1 , 9 , 5 , 2 , 159 , 2 , 1 , semi , min-degree , 16 , 2 
14 , 1 , 9 , 5 , 2 , 159 , 2 , 0 , semi , min-degree , 16 , 0 
14 , 1 , 9 , 5 , 2 , 159 , 2 , 1 , weak , min-degree , 16 , 4 
14 , 1 , 9 , 5 , 2 , 159 , 2 , 0 , weak , min-degree , 16 , 0 
14 , 1 , 9 , 5 , 2 , 159 , 2 , 0 , none , min-degree , 16 , 5 
14 , 1 , 9 , 5 , 2 , 101 , 2 , 1 , semi , min-degree , 7 , 4 
14 , 1 , 9 , 5 , 2 , 101 , 2 , 0 , semi , min-degree , 7 , 0 
14 , 1 , 9 , 5 , 2 , 101 , 2 , 1 , weak , min-degree , 7 , 4 
14 , 1 , 9 , 5 , 2 , 101 , 2 , 0 , weak , min-degree , 7 , 2 
14 , 1 , 9 , 5 , 2 , 101 , 2 , 0 , none , min-degree , 7 , 4 
14 , 1 , 9 , 5 , 2 , 55 , 2 , 1 , semi , min-degree , 3 , 5 
14 , 1 , 9 , 5 , 2 , 55 , 2 , 0 , semi , min-degree , 3 , 0 
14 , 1 , 9 , 5 , 2 , 55 , 2 , 1 , weak , min-degree , 3 , 5 
14 , 1 , 9 , 5 , 2 , 55 , 2 , 0 , weak , min-degree , 3 , 3 
14 , 1 , 9 , 5 , 2 , 55 , 2 , 0 , none , min-degree , 3 , 5 
14 , 1 , 9 , 5 , 2 , 53 , 2 , 1 , semi , min-degree , 5 , 5 
14 , 1 , 9 , 5 , 2 , 53 , 2 , 0 , semi , min-degree , 5 , 0 
14 , 1 , 9 , 5 , 2 , 53 , 2 , 1 , weak , min-degree , 5 , 4 
14 , 1 , 9 , 5 , 2 , 53 , 2 , 0 , weak , min-degree , 5 , 3 
14 , 1 , 9 , 5 , 2 , 53 , 2 , 0 , none , min-degree , 5 , 4 
14 , 1 , 9 , 5 , 2 , 64 , 2 , 1 , semi , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 64 , 2 , 0 , semi , min-degree , 1 , 3 
14 , 1 , 9 , 5 , 2 , 64 , 2 , 1 , weak , min-degree , 2 , 5 
14 , 1 , 9 , 5 , 2 , 64 , 2 , 0 , weak , min-degree , 2 , 1 
14 , 1 , 9 , 5 , 2 , 64 , 2 , 0 , none , min-degree , 3 , 4 
14 , 1 , 9 , 5 , 2 , 17 , 2 , 1 , semi , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 17 , 2 , 0 , semi , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 17 , 2 , 1 , weak , min-degree , 1 , 5 
