;;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;jumpy;frumpy;crafty;none;nopre
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;315.;2.0;1.0;semi;min-degree;19.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;315.;2.0;0.0;semi;min-degree;19.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;315.;2.0;1.0;weak;min-degree;19.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;315.;2.0;0.0;weak;min-degree;19.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_20.lp;315.;2.0;0.0;none;min-degree;19.0;135.82;136.24;136.21;135.01;137.11
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;147.;2.0;1.0;semi;min-degree;11.0;10.16;50.59;10.10;22.27;16.15
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;147.;2.0;0.0;semi;min-degree;11.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;147.;2.0;1.0;weak;min-degree;11.0;8.84;43.47;8.82;20.20;52.48
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;147.;2.0;0.0;weak;min-degree;11.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_12.lp;147.;2.0;0.0;none;min-degree;11.0;2.99;2.96;2.97;2.95;3.03
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;159.;2.0;1.0;semi;min-degree;16.0;98.31;80.95;96.44;112.73;524.35
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;159.;2.0;0.0;semi;min-degree;16.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;159.;2.0;1.0;weak;min-degree;16.0;54.22;46.85;56.49;45.80;427.29
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;159.;2.0;0.0;weak;min-degree;16.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_16.lp;159.;2.0;0.0;none;min-degree;16.0;0.04;0.04;0.04;0.04;0.04
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;101.;2.0;1.0;semi;min-degree;7.0;0.26;0.27;0.26;0.26;0.31
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;101.;2.0;0.0;semi;min-degree;7.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;101.;2.0;1.0;weak;min-degree;7.0;0.27;0.27;0.27;0.27;0.32
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;101.;2.0;0.0;weak;min-degree;7.0;297.53;290.05;297.87;291.29;457.41
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_8.lp;101.;2.0;0.0;none;min-degree;7.0;0.16;0.16;0.16;0.16;0.17
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;55.0;2.0;1.0;semi;min-degree;3.0;0.03;0.02;0.02;0.02;0.02
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;55.0;2.0;0.0;semi;min-degree;3.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;55.0;2.0;1.0;weak;min-degree;3.0;0.02;0.02;0.02;0.02;0.02
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;55.0;2.0;0.0;weak;min-degree;3.0;95.54;95.45;94.57;95.94;111.33
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_20_4.lp;55.0;2.0;0.0;none;min-degree;3.0;0.04;0.04;0.04;0.04;0.04
